#1=α 2=β 3=qs 4=S 5=q0 6=s0 7=s1 8=Q 9=qh0 10=qh1 11=sh0 12=sh1 13=Sh 14=Qh 15=ϕ
0.6 Inf 1.0 0.6015539458624639 0.3657112129397797 0.3682356207502234 0.5778940286265246 0.5627125303509637 0.9090006803003399 -0.6675682586442777 0.8917866771497445 1.054371246358067 0.5 1.0153411412268156 0.1570754377466197
0.6 Inf 1.0 0.6440783971874243 0.3657112129397797 0.3660100158857876 0.6064833022174119 0.6047014663915532 0.9090006803003399 -0.6675682586442777 0.9067773357100968 1.1079848943889377 0.6 1.1026309242984027 0.13374660133319555
0.6 Inf 1.0 0.6796536969641775 0.3657112129397797 0.36338407674411605 0.629902532117838 0.6438042063019482 0.9090006803003399 -0.6675682586442777 0.9282341385883621 1.1695908419768914 0.7 1.2188571644068262 0.11067862713790183
0.6 Inf 1.0 0.7089045007922935 0.3657112129397797 0.36063292001684033 0.6487666392489372 0.6789866670245596 0.9090006803003399 -0.6675682586442777 0.9552482353578386 1.2377840989556983 0.8 1.3642421416626869 0.08878996678907397
0.6 Inf 1.0 0.7326983897762496 0.3657112129397797 0.3579370868594068 0.6638096716794402 0.7099156344177372 0.9090006803003399 -0.6675682586442777 0.9868579320746245 1.3111273150775649 0.9 1.5384467178077195 0.06860692133517782
0.6 Inf 1.0 0.7519653856418951 0.3657112129397797 0.355396846589061 0.6757603190917163 0.7367328489518095 0.9090006803003399 -0.6675682586442777 1.022136744079404 1.3883046152604934 1.0 1.7406902575215593 0.050337448127844464
0.6 Inf 1.0 0.767572471018824 0.3657112129397797 0.35305758927849695 0.685265375527051 0.7598349503890587 0.9090006803003399 -0.6675682586442777 1.06027321759398 1.4682211363033106 1.1 1.9699765249017984 0.033977401415631436
0.6 Inf 1.0 0.7802663927894331 0.3657112129397797 0.35092999341346487 0.6928618697638055 0.7797115798559363 0.9090006803003399 -0.6675682586442777 1.1005890976583927 1.5500150027776787 1.2 2.225230085900614 0.019401125218182103
0.6 Inf 1.0 0.7906582646970702 0.3657112129397797 0.349006175798589 0.6989768407001643 0.7968508039387172 0.9090006803003394 -0.6675682586442779 1.1425426624252155 1.6330391562051698 1.3 2.5054145761361357 0.006428478046753283
0.6 Inf 1.0 0.7992333567481535 0.3657112129397796 0.3472696737139083 0.7039414664050458 0.8116936411239578 0.909000680300339 -0.6675682586442782 1.185713297785713 1.716823055678856 1.4 2.8095919078802365 -0.00513426361360142
0.6 Inf 1.0 0.8063715709138071 0.36571121293977943 0.3457005048433144 0.7080097646962749 0.8246186578484824 0.9090006803003383 -0.6675682586442786 1.229775099885173 1.801028973264694 1.5 3.1369297265023546 -0.015473840806699501
