#1=α 2=β 3=qs 4=q0 5=qh0 6=qh1 7=ϕ 
0.1 Inf 1.0 0.06328304324200483 0.0721224700228613 -0.9954358706108231 1.348571928109454
0.15 Inf 1.0 0.09462458057068188 0.1154374085328802 -0.9890767836354097 1.312553530620775
0.2 Inf 1.0 0.12575205262737585 0.16453028124059127 -0.9793099794146363 1.2759339142006736
0.25 Inf 1.0 0.1566543974382201 0.2202578628480528 -0.9654956372145082 1.238676125342563
0.3 Inf 1.0 0.18732044163553757 0.28362630111374454 -0.9468709960159194 1.2007399436186896
0.35 Inf 1.0 0.21773844612533588 0.3558206483120585 -0.9225241649372228 1.1620814924433853
0.4 Inf 1.0 0.2478977225024196 0.4382467753573169 -0.8913596224948916 1.1226527895863632
0.45 Inf 1.0 0.2777862627609579 0.5325731594988168 -0.8520584923760282 1.0824012259010403
0.5 Inf 1.0 0.30739236840503625 0.6407941465734283 -0.8030247696247099 1.0412689580733425
0.55 Inf 1.0 0.33670426184517266 0.7653043816126383 -0.7423187531022403 0.9991921978217058
0.6 Inf 1.0 0.36571010257606024 0.9089947379025688 -0.6675714411605526 0.956100375644141
0.65 Inf 1.0 0.394398000288193 1.0753754142039422 -0.5758740870788779 0.9119151516105354
0.7 Inf 1.0 0.42275674417728915 1.2687405176219178 -0.46363138956434957 0.8665492384003126
0.75 Inf 1.0 0.4507735592713358 1.4943611227969458 -0.32638151784011105 0.8199049921983026
0.8 Inf 1.0 0.4784369631368965 1.7587783633896306 -0.1585354209889842 0.7718727142963047
